Weight,Height,BMI,Body Fat Percentage,BFPcase,Gender,Age,BMIcase,Exercise Recommendation Plan
76.8119746214605,1.8205207456093633,23.175956402141907,18.28114768257029,Acceptable,Male,29,normal,4
77.72115363470942,1.9454984694492778,20.534184099170663,13.731020919004795,Fitness,Male,23,normal,4
87.55872592340654,1.7427535916333587,28.828859433857147,42.30463132062857,Obese,Female,57,over weight,5
89.47335605817275,1.7583181917786925,28.940017462117137,27.95802095454056,Obese,Male,41,over weight,5
69.9639425959133,1.7225701472862902,23.578731761973188,16.464478114367825,Fitness,Male,19,normal,4
62.91362730046907,1.4985037637955145,28.01747861096437,34.20097433315724,Obese,Female,26,over weight,5
53.59834106266945,1.8647383078052528,15.414007375282267,9.88680885033872,Athletes,Male,33,sever thinness,1
105.0780612405418,1.7430993878164431,34.583404983732585,50.5900859804791,Obese,Female,63,severe obese,7
87.69835784862512,1.8189825305895728,26.505402583426694,39.976483100112034,Obese,Female,59,severe obese,7
74.79890132999351,1.710348655262098,25.569716790105886,29.433660148127064,Obese,Male,65,over weight,5
67.39965575959646,1.4695780253227806,31.208462952896408,44.70015554347569,Obese,Female,55,obese,6
88.12823265342732,1.742247639916897,29.033225748370665,28.529870898044795,Obese,Male,43,over weight,5
68.59003882079857,1.7114955267972547,23.4158275972029,30.97899311664348,Acceptable,Female,36,normal,4
85.60970791954526,1.691677419559802,29.914924461464512,42.22790935375742,Obese,Female,51,over weight,5
93.57970614897076,1.928489682072484,25.16210891558304,22.04453069869965,Acceptable,Male,35,over weight,5
66.83983009628085,1.6116679092457993,25.732632648925755,31.689159178710902,Obese,Female,27,over weight,5
79.1747925190742,1.8700087100227922,22.641212207636016,25.22945464916322,Obese,Male,62,normal,4
78.52224622293157,1.8663828778952147,22.541936985347633,25.110324382417158,Obese,Male,62,normal,4
80.44258677448136,1.796553821310825,24.923301023935203,33.937961228722244,Obese,Female,41,severe obese,7
81.13066662743725,1.7392782165650487,26.81926855083665,32.07312226100398,Obese,Female,23,severe obese,7
78.23640694719901,1.9779313425767007,19.997995770435548,20.677594924522655,Acceptable,Male,56,normal,4
94.43779908801352,1.8993181330955107,26.178841762432565,29.014610114919083,Obese,Male,60,over weight,5
71.92683942208336,1.583891088625709,28.67083533236658,42.34500239883989,Obese,Female,58,over weight,5
96.76241330564501,1.6961717356860153,33.63311151902649,48.529733822831794,Obese,Female,59,severe obese,7
103.17132593472067,1.724531300559586,34.69100243416352,33.249202920996225,Obese,Male,34,obese,6
90.72824200193577,1.6290897531553448,34.186329312965896,49.193595175559075,Obese,Female,59,severe obese,7
101.49655198603413,1.8939044524872761,28.296658834268577,22.585990601122287,Acceptable,Male,21,over weight,5
98.56277403471233,1.9243768948544728,26.615378726084575,23.09845447130149,Acceptable,Male,32,over weight,5
78.36672657888828,1.9053625317858993,21.58621334070295,23.273456008843542,Acceptable,Male,59,normal,4
97.97924434434805,1.7073678296102197,33.61088108923058,34.9430573070767,Obese,Male,47,obese,6
76.81872435142272,1.7403338923384024,25.363076699406793,34.92569203928815,Obese,Female,43,over weight,5
100.0356608182885,1.732133661453636,33.34203031690368,47.95043638028442,Obese,Female,58,severe obese,7
91.20145268113006,1.7960844753468195,28.271460061053823,39.10575207326458,Obese,Female,46,severe obese,7
104.07069395625808,1.8092833081795134,31.791813156479957,32.76017578777595,Obese,Male,47,obese,6
61.150674087739276,1.8243771799636497,18.37265780377904,25.617189364534845,Acceptable,Female,39,mild thinness,3
107.69591594337578,1.9708413328682992,27.726554898414864,28.111865878097834,Obese,Male,48,over weight,5
57.56968710192194,1.7348822020900991,19.127309517256457,14.342771420707749,Fitness,Male,33,normal,4
88.41572777282536,1.9704669078332397,22.771478783841633,18.485774540609963,Acceptable,Male,32,normal,4
73.81231407491309,1.9323492118336363,19.76776603796681,21.781319245560173,Acceptable,Male,62,normal,4
104.43714672359704,1.7552420456916167,33.89853822767887,43.32824587321465,Obese,Female,35,severe obese,7
58.06326289422947,1.5853215793320201,23.102910467170368,28.76349256060444,Acceptable,Female,28,normal,4
